"ID_на_сайте","Наименование","Ссылка","Промо_цена","Регулярная_цена","Бренд"
183153,"Чай Принцесса Ява Традиционный зеленый (2г х 25шт), 50г",https://online.metro-cc.ru/products/princessa-yava-zelenyj-25h2g,5990,6590,ПРИНЦЕССА ЯВА
413151204,"Чай Т-Eco черный байховый среднелистовой, 200г",https://online.metro-cc.ru/products/200g-chay-t-eco-chernyy-bayhovyy-srednelistovoy,,6290,Т-ECO
620107,"Чай Чёрный дракон женьшеневый улун, 100г",https://online.metro-cc.ru/products/100g-chyornyj-drakon-zhenshenevyj-ulun,21900,26900,ЧЁРНЫЙ ДРАКОН
619437,"Чай Чёрный дракон зеленый молочный, 100г",https://online.metro-cc.ru/products/100g-chyornyj-drakon-molochnyj-zelenyj,14900,19200,ЧЁРНЫЙ ДРАКОН
619087,"Чай Чёрный дракон зеленый с жасмином, 100г",https://online.metro-cc.ru/products/100g-chyornyj-drakon-zelyonyj-s-zhasminom,14900,19200,ЧЁРНЫЙ ДРАКОН
620037,"Чай Чёрный дракон молочный улун, 100г",https://online.metro-cc.ru/products/100g-chyornyj-drakon-molochnyj-ulun,21900,26900,ЧЁРНЫЙ ДРАКОН
603139845,"Чай зеленый Greenfield Flying Dragon листовой, 100г",https://online.metro-cc.ru/products/100g-chay-zelenyy-greenfield-flying-dragon-listovoy,,20200,GREENFIELD
596161917,"Чай зеленый Richman Young Hyson, 100г",https://online.metro-cc.ru/products/100g-chay-zelenyy-richman-young-hyson,15900,22200,RICHMAN
596162797,"Чай зеленый Richman цитрусовый коктейль, 40г",https://online.metro-cc.ru/products/40g-chay-zelenyy-richman-tsitrusovyy-kokteyl,12900,19500,RICHMAN
396162,"Чай черный Basilur Uva OP Лист Цейлона (2г х 100шт), 200г",https://online.metro-cc.ru/products/chernyj-basilur-uba-100h2g,,55900,BASILUR
601354158,"Чай черный Befruitbe крупнолистовой, 50г",https://online.metro-cc.ru/products/50g-chay-chernyy-befruitbe-krupnolistovoy,,9490,BEFRUITBE
603139840,"Чай черный Greenfield Redberry Crumble пирамидки (1.8г x 20шт), 36г",https://online.metro-cc.ru/products/20shtx18g-chay-chernyy-greenfield-redberry-crumble-piramidki,10900,16100,GREENFIELD
601583353,"Чай черный Richard All the best wishes, 80г",https://online.metro-cc.ru/products/chay-chernyy-richard-all-the-best-wishes-80g,,53900,RICHARD
